NAME,year,total,total_moe,pct_rail_all,pct_rail_all_moe,pct_other,pct_other_moe,pct_vehicle,pct_vehicle_moe,pct_bus,pct_bus_moe,pct_wfh,pct_wfh_moe,pct_walk_or_bike,pct_walk_or_bike_moe
Contra Costa County,2017,520162.0,3157.0,0.08594437886658388,0.0034251199394004436,0.01453777861512375,0.0011593380445056366,0.7978533610682825,0.003129290721330678,0.017136968867391314,0.001272281119543359,0.06265548040802674,0.002407858859457382,0.02187203217459176,0.0018424372541972676
Contra Costa County,2022,556391.0,2772.0,0.05954984893716828,0.003359037525835485,0.016350012850675156,0.0012890968157802055,0.7176086600969462,0.00614793561557114,0.01526803992156595,0.001725526801426922,0.1697547228477815,0.00515583841641355,0.02146871534586289,0.0017724051911313665
Lafayette,2017,11738.0,533.0,0.19355937979212814,0.024083304545059452,,,0.6571818026921111,0.030157664577213465,,,0.11969671153518487,0.017045017326427096,,
Lafayette,2022,11709.0,566.0,0.09206593218891451,0.018208291816164374,,,0.5020070031599624,0.04619641420386427,,,0.37560850627722264,0.05227890150393523,,
El Cerrito,2017,12281.0,451.0,0.20853350704340037,0.017752651823045633,,,0.5975083462258773,0.022617186379875958,0.04356322775018321,0.010628586441557172,0.10634313166680237,0.015054182120339427,0.03305919713378389,0.00971255815308299
El Cerrito,2022,13356.0,516.0,0.15610961365678347,0.02185940786967415,,,0.5235100329439952,0.029526171969298146,0.018643306379155435,0.00685052894440026,0.23936807427373466,0.025158604219720875,0.04702006588799042,0.01136002897971637
Pittsburg/Bay Point,2017,40608.0,1226.9233879912797,0.08111702127659574,0.011105118435470521,0.016105200945626476,0.00441147411975816,0.8468528368794326,0.01556497595310229,0.015391055949566588,0.003806514146820555,0.024822695035460994,0.005191435272952863,0.01571118991331757,0.005025657353826798
Pittsburg/Bay Point,2022,46663.0,1406.475381938838,0.057433084028030774,0.010504102056684643,,,0.8438591603625999,0.013864239057289814,0.010157940981077085,0.003541954092803111,0.0635835672802863,0.008233332920313443,,
Richmond,2017,51950.0,1215.3756620897095,0.10481231953801733,0.010789949650894408,0.015187680461982676,0.004112245733337063,0.7791337824831569,0.012158752689003119,0.03305101058710298,0.006154937343364901,0.04367661212704524,0.006499308411983104,0.0241385948026949,0.007089703133629357
Richmond,2022,57615.0,1505.0747489742828,0.05869999132170442,0.010613972771970747,0.023709103532066303,0.006369931717054256,0.7511759090514623,0.018209042500547414,0.03367178686106049,0.0086990930859529,0.11236657120541525,0.012581354590065742,0.020376638028291243,0.005033694267326088
